#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Kb)	GC%	Host	Segmemts	Genes	Proteins	Release Date	Modify Date	Status
Heterosigma akashiwo RNA virus SOG263	239720	PRJNA15425	15425	ssRNA viruses	Marnaviridae	8.587	46.9	algae	 Unknown:NC_005281.1/AY337486.1	1	1	2003/07/23	2008/07/16	Complete Genome
Acholeplasma virus L2	46014	PRJNA14066	14066	dsDNA viruses, no RNA stage	Plasmaviridae	11.965	32	bacteria	 Unknown:NC_001447.1/L13696.1	14	14	1993/06/11	2015/02/10	Complete Genome
Pseudoalteromonas virus PM2	10661	PRJNA14237	14237	dsDNA viruses, no RNA stage	Corticoviridae	10.079	42.2	bacteria	 Unknown:NC_000867.1/AF155037.1	22	22	1999/07/13	2010/03/26	Complete Genome
Posavirus sp.	1930510		0	unclassified viruses	unclassified	9.57	32.8	eukaryotes	NC_032412.1/KX673273.1	1	1	2016/12/27	2017/12/04	Complete Genome
Mushroom bacilliform virus	32625	PRJNA14676	14676	ssRNA viruses	Barnaviridae	4.009	46.3	fungi	 Unknown:NC_001633.1/U07551.1	4	4	1994/10/08	2013/02/06	Complete Genome
White spot syndrome virus	342409	PRJNA14616	14616	dsDNA viruses, no RNA stage	Nimaviridae	309.286	40.9	invertebrates	 Unknown:NC_003225.3/KT995472.1	177	177	2001/11/20	2016/01/10	Complete Genome
Hepatitis E virus	12461	PRJNA15435	15435	ssRNA viruses	Hepeviridae	7.176	57.9	vertebrates, human	 Unknown:NC_001434.1/L08816.1	3	3	1993/08/02	2015/02/10	Complete Genome
Botrytis virus F	129395	PRJNA14707	14707	ssRNA viruses	Gammaflexiviridae	6.827	53.4	fungi	 Unknown:NC_002604.1/AF238884.1	2	2	2000/10/14	2009/11/30	Complete Genome
Chaetoceros socialis f. radians RNA virus 01	573993	PRJNA34845	34845	ssRNA viruses	unclassified	9.467	39.6	algae	 Unknown:NC_012212.1/AB469874.1	2	2	2009/02/11	2009/09/08	Complete Genome
Ostreid herpesvirus 1	261939	PRJNA14552	14552	dsDNA viruses, no RNA stage	Malacoherpesviridae	207.439	38.7	invertebrates	 Unknown:NC_005881.2/AY509253.2	127	127	2004/02/02	2013/08/29	Complete Genome
Hamiltonella virus APSE1	67571	PRJNA14047	14047	dsDNA viruses, no RNA stage	Podoviridae	36.524	43.9	bacteria	 Unknown:NC_000935.1/AF157835.1	54	54	1999/10/26	2015/02/10	Complete Genome
Halorubrum phage HF2	33771	PRJNA14147	14147	dsDNA viruses, no RNA stage	unclassified	77.67	55.8	archaea	 Unknown:NC_003345.1/AF222060.1	119	114	2001/12/31	2009/11/23	Complete Genome
Halovirus HF1	222645	PRJNA14294	14294	dsDNA viruses, no RNA stage	unclassified	75.898	55.8	archaea	 Unknown:NC_004927.1/AY190604.1	106	102	2003/06/30	2008/03/07	Complete Genome
Strawberry mottle virus	167161	PRJNA14740	14740	ssRNA viruses	Secoviridae	12.655	45.5772	plants	 RNA 1:NC_003445.1/AJ311875.1;  RNA 2:NC_003446.1/AJ311876.1	2	2	2002/01/08	2015/03/09	Complete Genome
Botrytis virus X	174142	PRJNA14947	14947	ssRNA viruses	Alphaflexiviridae	6.966	54.6	plants	 Unknown:NC_005132.1/AY055762.1	5	5	2003/10/01	2009/12/01	Complete Genome
Chalara elegans RNA Virus 1	267285	PRJNA15126	15126	dsRNA viruses	Totiviridae	5.31	52.6	fungi	 Unknown:NC_005883.1/AY561500.1	2	2	2004/03/23	2010/06/28	Complete Genome
Strawberry latent ringspot virus	28351	PRJNA15167	15167	ssRNA viruses	Secoviridae	11.338	45.5149	plants	 RNA 1:NC_006964.1/AY860978.1;  RNA 2:NC_006965.1/AY860979.1	2	2	2005/01/29	2015/10/20	Complete Genome
Human picobirnavirus	145856	PRJNA15248	15248	dsRNA viruses	Picobirnaviridae	4.27	46.0452	vertebrates, human	 1:NC_007026.1/AB186897.1;  2:NC_007027.1/AB186898.1	3	3	2005/05/07	2015/10/20	Complete Genome
Satsuma dwarf virus	47416	PRJNA15409	15409	ssRNA viruses	Secoviridae	12.138	47.2522	plants	 RNA 1:NC_003785.2/AB009958.2;  RNA 2:NC_003786.2/AB009959.2	2	2	1999/04/06	2015/02/10	Complete Genome
Chaetoceros salsugineum DNA virus	674980	PRJNA15497	15497	ssDNA viruses	Bacilladnaviridae	6	46.3	algae	 Unknown:NC_007193.2/AB193315.2	6	6	2005/07/08	2010/08/16	Complete Genome
Haloarcula hispanica virus SH1	326574	PRJNA15535	15535	dsDNA viruses, no RNA stage	Sphaerolipoviridae	30.889	68.4	archaea	 Unknown:NC_007217.1/AY950802.1	56	56	2005/07/05	2008/03/07	Complete Genome
Aurantiochytrium single-stranded RNA virus 01	674971	PRJNA16134	16134	ssRNA viruses	unclassified	9.035	49.7	algae	 Unknown:NC_007522.1/AB193726.1	2	2	2005/10/29	2015/02/10	Complete Genome
Black raspberry necrosis virus	367301	PRJNA17093	17093	ssRNA viruses	Secoviridae	13.945	47.0302	plants	 RNA 1:NC_008182.1/DQ344639.1;  RNA 2:NC_008183.1/DQ344640.1	2	2	2006/05/25	2015/10/20	Complete Genome
Citrus leprosis virus C	347219	PRJNA17095	17095	ssRNA viruses	unclassified	13.731	41.7101	plants	 RNA-1:NC_008169.1/DQ352194.1;  RNA-2:NC_008170.1/DQ352195.1	6	6	2006/04/24	2015/10/20	Complete Genome
White bream virus	405554	PRJNA18013	18013	ssRNA viruses	Coronaviridae	26.66	43.3	vertebrates	 Unknown:NC_008516.1/DQ898157.1	5	5	2006/10/07	2007/05/09	Complete Genome
Tomato torrado virus	370833	PRJNA18831	18831	ssRNA viruses	Secoviridae	13.211	44.1182	plants	 RNA 1:NC_009013.1/DQ388879.1;  RNA 2:NC_009032.1/DQ388880.1	3	3	2006/12/31	2015/10/20	Complete Genome
